WELL_NAME,D_DATE,OIL,GAS,GAS_SALES,WATER
WELL A,2/11/15,0,235.6,,4243
WELL A,2/12/15,1468.23,539,,3070
WELL A,2/13/15,987.63,660,,2511
WELL A,2/14/15,1045.85,608.61,,2161.69
WELL A,2/15/15,1011.69,615.61,,1841.76
WELL A,2/16/15,941.97,568.86,,1608.48
WELL A,2/17/15,903.01,533,,1352.43
WELL A,2/18/15,899.32,503,,1260
WELL A,2/19/15,523.29,153.6,,481.07
WELL A,2/20/15,769.75,393.63,,1077.28
WELL A,2/21/15,867.48,461.67,,1182.96
WELL A,2/22/15,828.47,455.23,,1166.62
WELL A,2/23/15,787.34,432.02,,1117.33
WELL A,2/24/15,753.34,419.44,,1069.29
WELL A,2/25/15,750.87,395.29,,977.3
WELL A,2/26/15,818.22,514.76,,1130.07
WELL A,2/27/15,803.3,549.25,,1063.47
WELL A,2/28/15,679.32,533.54,,1026.68
WELL A,3/1/15,495.87,384.84,,648.98
WELL A,3/2/15,409.57,324.59,,609.25
WELL A,3/3/15,455.89,382.51,,739.14
WELL A,3/4/15,591.28,454.35,,628.79
WELL A,3/5/15,422.65,490.62,,904.83
WELL A,3/6/15,472.78,390.72,,991.8
WELL A,3/7/15,522.95,442.32,,706.45
WELL A,3/8/15,501.33,397.25,,301.64
WELL A,3/9/15,343.18,566.03,,386.46
WELL A,3/10/15,470.32,274.05,,773.32
WELL A,3/11/15,370.52,265.76,,1244.72
WELL A,3/12/15,372.01,167.42,,1219.28
WELL A,3/13/15,494.01,249.08,,510
WELL A,3/14/15,107.64,91.76,,112.93
WELL A,3/15/15,159.28,72.87,,191.48
WELL A,3/16/15,355.19,199.95,,1013.49
WELL A,3/17/15,348.38,196.2,,1047.4
WELL A,3/18/15,124.55,64.44,,130.58
WELL A,3/19/15,164.37,78.26,,172.69
WELL A,3/20/15,285.66,150.01,,418.32
WELL A,3/21/15,428.5,384.2,,277.52
WELL A,3/22/15,447.03,239.61,,501.27
WELL A,3/23/15,457.29,295.22,,503.39
WELL A,3/24/15,443.68,290.59,,466.11
WELL A,3/25/15,429.42,279.45,,456.71
WELL A,3/26/15,340.54,303.57,,512.29
WELL A,3/27/15,538.17,296.35,,470.42
WELL A,3/28/15,425.59,295.65,,454.62
WELL A,3/29/15,424.43,283.99,,435.98
WELL A,3/30/15,384.67,276.78,,325.17
WELL A,3/31/15,355.75,250.1,,355.07
WELL A,4/1/15,179.02,265.98,,377.75
WELL A,4/2/15,551.85,255.24,,368.23
WELL A,4/3/15,368.69,257.63,,444.75
WELL A,4/4/15,303.53,226.99,,244.22
WELL A,4/5/15,323.21,209.7,,311.05
WELL A,4/6/15,336.07,226.71,,334.22
WELL A,4/7/15,304.22,187.11,,301.32
WELL A,4/8/15,320.97,196.84,,292.44
WELL A,4/9/15,277.75,178.76,,283.57
WELL A,4/10/15,156.55,83.45,,149.92
WELL A,4/11/15,17.97,8.7,,17.3
WELL A,4/12/15,0,0,,0
WELL A,4/13/15,40.04,19.19,,39
WELL A,4/14/15,39.03,19.24,,39.91
WELL A,4/15/15,0,0,,0
WELL A,4/16/15,564.97,267.75,,659
WELL A,4/17/15,493.24,229.2,,461
WELL A,4/18/15,304.93,125.38,,360.52
WELL A,4/19/15,226.69,80.11,,223.11
WELL A,4/20/15,224.34,119.95,,192.59
WELL A,4/21/15,145.55,73.54,,121.22
WELL A,4/22/15,280.99,205.3,,291
WELL A,4/23/15,291.21,185.4,,286
WELL A,4/24/15,259.76,152.61,,307.23
WELL A,4/25/15,248.95,159.19,,240.26
WELL A,4/26/15,215.36,143.1,,220.3
WELL A,4/27/15,210.21,138.55,,216.39
WELL A,4/28/15,211.54,137.31,,219.82
WELL A,4/29/15,220.9,138.07,,219.61
WELL A,4/30/15,0,0,,0
WELL A,5/1/15,131.98,79.68,,86.85
WELL A,5/2/15,417.09,246.8,,417.88
WELL A,5/3/15,383.15,302.92,,434.07
WELL A,5/4/15,410.07,318.03,,371.46
WELL A,5/5/15,410.22,316.7,,344.43
WELL A,5/6/15,470.45,329.23,,319.4
WELL A,5/7/15,400.31,297.39,,320.35
WELL A,5/8/15,328.4,292.67,,342.95
WELL A,5/9/15,371.78,285.04,,270.5
WELL A,5/10/15,355.59,276.27,,317.55
WELL A,5/11/15,399.96,309.46,,341.01
WELL A,5/12/15,390.18,297.39,,339.25
WELL A,5/13/15,348.51,300.71,,337.41
WELL A,5/14/15,420.22,316.08,,362.56
WELL A,5/15/15,355.01,348.34,,341.9
WELL A,5/16/15,367.27,337.97,,409.8
WELL A,5/17/15,463.85,361.15,,391.95
WELL A,5/18/15,357.82,322.11,,401.5
WELL A,5/19/15,395.35,293.97,,314.11
WELL A,5/20/15,404.68,384.06,,356.98
WELL A,5/21/15,454.2,375.95,,512.64
WELL A,5/22/15,361.6,331.42,,302.44
WELL A,5/23/15,376.27,337.75,,345.74
WELL A,5/24/15,376.92,358.47,,321.08
WELL A,5/25/15,378.15,364.51,,329.69
WELL A,5/26/15,324.88,288.33,,275.96
WELL A,5/27/15,383.78,356.54,,394.45
WELL A,5/28/15,377.36,354.78,,334.07
WELL A,5/29/15,377.53,278.95,,315.48
WELL A,5/30/15,382.25,328.98,,232.59
WELL A,5/31/15,391.87,331.67,,169.82
WELL A,6/1/15,402.55,336.77,,384.99
WELL A,6/2/15,377.88,358.53,,310.24
WELL A,6/3/15,400.68,360.55,,312.32
WELL A,6/4/15,403.25,378.18,,303.92
WELL A,6/5/15,382.44,372.55,,236.06
WELL A,6/6/15,289.89,320.41,,236.41
WELL A,6/7/15,325.09,328.21,,318.68
WELL A,6/8/15,382.02,384.7,,309.6
WELL A,6/9/15,350.18,340.59,,290.4
WELL A,6/10/15,322.2,371.78,,286.31
WELL A,6/11/15,365.58,378.12,,346.39
WELL A,6/12/15,344.13,371.94,,281.19
WELL A,6/13/15,353.22,413.17,,249.89
WELL A,6/14/15,340.05,394,,302.89
WELL A,6/15/15,359.24,407.38,,394.5
WELL A,6/16/15,366.19,411.47,,283.01
WELL A,6/17/15,359.77,424.79,,288.27
WELL A,6/18/15,352.85,431,,306.95
WELL A,6/19/15,333.44,385.1,,219.52
WELL A,6/20/15,354.59,440.01,,325.55
WELL A,6/21/15,364.23,461.02,,276.53
WELL A,6/22/15,366.26,427.21,,334.76
WELL A,6/23/15,353.64,415.7,,269.13
WELL A,6/24/15,383.02,445.12,,269.75
WELL A,6/25/15,346.86,449.43,,317.83
WELL A,6/26/15,374.22,465.13,,254.12
WELL A,6/27/15,342.51,469.14,,274.75
WELL A,6/28/15,364.93,452.8,,330.86
WELL A,6/29/15,363.36,546.75,,269.32
WELL A,6/30/15,369.27,520.84,,298.55
WELL A,7/1/15,357.2,524.6,,282.64
WELL A,7/2/15,386.32,519.91,,333.41
WELL A,7/3/15,360,487.38,,303.18
WELL A,7/4/15,340.18,501.23,,297.09
WELL A,7/5/15,347.82,513.74,,86.9
WELL A,7/6/15,322.56,516.37,,508.36
WELL A,7/7/15,368.24,508.19,,333.58
WELL A,7/8/15,333.4,523.26,,263.5
WELL A,7/9/15,327.81,622.47,,320.9
WELL A,7/10/15,337.09,588.55,,352.25
WELL A,7/11/15,322,611.04,,219.39
WELL A,7/12/15,317.04,571.35,,466.26
WELL A,7/13/15,356.49,593.26,,267.38
WELL A,7/14/15,341.8,438.08,,318.02
WELL A,7/15/15,294.83,488.12,,230.82
WELL A,7/16/15,322.79,479.53,,379.85
WELL A,7/17/15,268.11,408.74,,214.22
WELL A,7/18/15,310.59,460.38,,249.69
WELL A,7/19/15,286.2,520.98,,298.47
WELL A,7/20/15,258.51,429.39,,263.17
WELL A,7/21/15,267.71,392.86,,259.9
WELL A,7/22/15,269.13,417.1,,271.71
WELL A,7/23/15,245.46,421.07,,220.35
WELL A,7/24/15,207.81,233.85,,218.19
WELL A,7/25/15,234.69,283.13,,153.77
WELL A,7/26/15,264.48,331.81,,136.5
WELL A,7/27/15,266.37,406.79,,229
WELL A,7/28/15,260.13,339.74,,191.55
WELL A,7/29/15,258.99,394.95,,166.15
WELL A,7/30/15,216.88,279.57,,163.1
WELL A,7/31/15,187.64,197.7,,137.59
WELL A,8/1/15,192.71,214.15,,127.97
WELL A,8/2/15,153.12,198.92,,159.87
WELL A,8/3/15,158.53,207.35,,135.84
WELL A,8/4/15,179.96,226.68,,166.18
WELL A,8/5/15,188.7,243.74,,149.27
WELL A,8/6/15,189.35,242.96,,183.7
WELL A,8/7/15,173.14,219.39,,156.48
WELL A,8/8/15,189.83,236.9,,141.22
WELL A,8/9/15,227.57,317.81,,241.84
WELL A,8/10/15,238.92,331.85,,211.17
WELL A,8/11/15,210.69,286.35,,202.28
WELL A,8/12/15,223.46,115.7,,105.1
WELL A,8/13/15,190.6,262.24,,183.24
WELL A,8/14/15,107.48,144.85,,203.85
WELL A,8/15/15,203.52,223.06,,268.7
WELL A,8/16/15,219.89,304.96,,366.88
WELL A,8/17/15,236.61,296.99,,330.67
WELL A,8/18/15,231.39,271.83,,347.53
WELL A,8/19/15,215.04,316.93,,299.31
WELL A,8/20/15,182.01,237.63,,308.21
WELL A,8/21/15,102.46,133.77,,153.5
WELL A,8/22/15,284.15,239.7,,236.18
WELL A,8/23/15,242.52,314.72,,215.62
WELL A,8/24/15,245.62,340.83,,219.02
WELL A,8/25/15,229.13,326.2,,203.39
WELL A,8/26/15,263.1,324.29,,198.56
WELL A,8/27/15,219.56,311.66,,236.76
WELL A,8/28/15,221.02,335.11,,228.57
WELL A,8/29/15,261.8,419.42,,219.25
WELL A,8/30/15,266.27,382.46,,198.61
WELL A,8/31/15,252.51,392.88,,231.36
WELL A,9/1/15,207.91,307.81,,234.15
WELL A,9/2/15,229.73,345.71,,238
WELL A,9/3/15,187.93,313.06,,214.48
WELL A,9/4/15,197.34,278.21,,203.24
WELL A,9/5/15,142.13,260.06,,209.23
WELL A,9/6/15,159.95,279.28,,157.68
WELL A,9/7/15,0,0,,0
WELL A,9/8/15,166.82,162.82,,130.13
WELL A,9/9/15,115.25,186.14,,221.7
WELL A,9/10/15,135.53,223.2,,229.06
WELL A,9/11/15,125.1,196.54,,241.59
WELL A,9/12/15,128.65,190.88,,255.7
WELL A,9/13/15,144.14,243.69,,251.37
WELL A,9/14/15,138.49,224.52,,229.35
WELL A,9/15/15,160.71,157.3,,271.9
WELL A,9/16/15,115.23,177.46,,292.86
WELL A,9/17/15,124.83,178.06,,154.07
WELL A,9/18/15,81.07,268.57,,224.01
WELL A,9/19/15,86.16,102.51,,245.86
WELL A,9/20/15,134.58,189.54,,249.4
WELL A,9/21/15,162.5,246.45,,216.03
WELL A,9/22/15,198.08,205.51,,143.38
WELL A,9/23/15,210.86,382.96,,237.8
WELL A,9/24/15,263.24,383.98,,187.21
WELL A,9/25/15,190.93,264.12,,174.56
WELL A,9/26/15,189.77,246.88,,139.87
WELL A,9/27/15,309.14,336.55,,185.11
WELL A,9/28/15,331.51,364.08,,177.33
WELL A,9/29/15,259.94,281.07,,166.39
WELL A,9/30/15,198.28,251.04,,143.63
WELL A,10/1/15,275.3,248.95,,166.93
WELL A,10/2/15,305.84,359.52,,200.54
WELL A,10/3/15,298.29,329.68,,172.59
WELL A,10/4/15,266.24,303.15,,194
WELL A,10/5/15,264.33,337.43,,182.75
WELL A,10/6/15,254.27,335.94,,172.33
WELL A,10/7/15,257.3,336.79,,284.51
WELL A,10/8/15,274.77,346.49,,210.75
WELL A,10/9/15,262.87,349.21,,306.43
WELL A,10/10/15,231.5,361.68,,221.81
WELL A,10/11/15,275.96,360.86,,226.13
WELL A,10/12/15,219.3,314.63,,210.31
WELL A,10/13/15,234.73,336.76,,242.45
WELL A,10/14/15,220.53,258.19,,182.91
WELL A,10/15/15,166.26,292.07,,190.75
WELL A,10/16/15,186.69,253.65,,177.66
WELL A,10/17/15,173.03,295.55,,173.82
WELL A,10/18/15,170.99,288,,182.74
WELL A,10/19/15,157.33,259.39,,160.89
WELL A,10/20/15,166.2,254.9,,163.39
WELL A,10/21/15,152.35,249.87,,163.4
WELL A,10/22/15,182.72,242.19,,196.68
WELL A,10/23/15,168.68,248.56,,176.08
WELL A,10/24/15,176.8,243.93,,146.52
WELL A,10/25/15,176.03,224.77,,140.99
WELL A,10/26/15,173.69,240.74,,157.04
WELL A,10/27/15,176.88,244.78,,159.96
WELL A,10/28/15,217.24,276.29,,182.13
WELL A,10/29/15,183.26,277.6,,155.63
WELL A,10/30/15,184.37,224.42,,152.84
WELL A,10/31/15,179.33,214.91,,191.26
WELL A,11/1/15,251.16,266.87,,193.95
WELL A,11/2/15,173.46,254.78,,203.69
WELL A,11/3/15,207.76,236.98,,241.27
WELL A,11/4/15,177.06,133.01,,155.2
WELL A,11/5/15,190.48,274.06,,270.69
WELL A,11/6/15,195.92,253.84,,210.79
WELL A,11/7/15,168.09,263.04,,236.8
WELL A,11/8/15,159.68,264.5,,223.02
WELL A,11/9/15,207.78,230.61,,181.07
WELL A,11/10/15,213.63,260.82,,192.76
WELL A,11/11/15,200.27,282.43,,155.59
WELL A,11/12/15,186.05,282.59,,144.74
WELL A,11/13/15,182.77,229.71,,150.76
WELL A,11/14/15,181.68,234.3,,169.61
WELL A,11/15/15,172.14,234.99,,154.23
